timestamp,dpid,port,tx_bytes,rx_bytes
1743239414.5961404,4,4294967294,0,0
1743239414.5961764,4,1,226608,313188
1743239414.5961826,4,4,450187,860
1743239414.5961857,4,2,228386,309694
1743239414.5961888,4,5,450429,688
1743239414.5961914,4,3,450478,860
1743239414.5971093,2,4294967294,0,0
1743239414.5971208,2,1,227472,311987
1743239414.5971253,2,4,450516,860
1743239414.5971284,2,2,229620,309211
1743239414.5971313,2,3,448612,3698
1743239416.0609202,1,4294967294,0,0
1743239416.0609462,1,1,311987,227988
1743239416.0609515,1,2,279578,283245
1743239416.0609546,1,3,313188,227644
1743239416.0633864,3,4294967294,0,0
1743239416.0633993,3,4,448715,586
1743239416.0634038,3,1,282213,279578
1743239416.0634074,3,2,309211,230308
1743239416.0634103,3,3,309694,228558
1743239428.2201872,2,4294967294,0,0
1743239428.2202132,2,1,640166,871913
1743239428.2202191,2,4,1267897,1946
1743239428.220223,2,2,640569,873184
1743239428.2202265,2,3,1261709,11276
1743239428.3141563,4,4294967294,0,0
1743239428.3141763,4,1,635296,876349
1743239428.3141844,4,4,1262777,1688
1743239428.3141897,4,2,635315,874921
1743239428.3141944,4,5,1262777,1516
1743239428.3141992,4,3,1262777,1688
1743239432.0184984,1,4294967294,0,0
1743239432.0185232,1,1,870979,640076
1743239432.0185292,1,2,782186,787357
1743239432.0185332,1,3,875489,635296
1743239432.029555,3,4294967294,0,0
1743239432.0295851,3,4,1264965,656
1743239432.0295942,3,1,787357,782776
1743239432.0295997,3,2,872496,640569
1743239432.0296047,3,3,874405,635315
1743239442.3369145,2,4294967294,0,0
1743239442.3369477,2,1,1064383,1452495
1743239442.3369572,2,4,2110733,3620
1743239442.3369641,2,2,1067220,1447184
1743239442.336968,2,3,2099523,18400
1743239442.4568007,4,4294967294,0,0
1743239442.4568255,4,1,1054206,1458021
1743239442.456834,4,4,2100359,2204
1743239442.4568384,4,2,1056379,1452159
1743239442.4568417,4,5,2100359,2204
1743239442.4568448,4,3,2099843,2376
1743239448.6053052,1,4294967294,0,0
1743239448.605329,1,1,1452409,1064383
1743239448.6053345,1,2,1303020,1303245
1743239448.6053386,1,3,1457935,1054206
1743239448.6384802,3,4294967294,0,0
1743239448.6385024,3,4,2098915,698
1743239448.6385078,3,1,1303245,1303020
1743239448.6385117,3,2,1447184,1068166
1743239448.638515,3,3,1452159,1056985
1743239455.858941,2,4294967294,0,0
1743239455.8589652,2,1,1479782,2016257
1743239455.858973,2,4,2935201,4718
1743239455.8589783,2,2,1484297,2014791
1743239455.8589828,2,3,2920373,26682
1743239456.0204253,4,4294967294,0,0
1743239456.0204546,4,1,1463705,2026724
1743239456.0204637,4,4,2923019,3520
1743239456.020469,4,2,1471550,2022556
1743239456.0204737,4,5,2923019,3478
1743239456.0204787,4,3,2922847,4066
1743239464.4177678,1,4294967294,0,0
1743239464.4178014,1,1,2015311,1479782
1743239464.4178112,1,2,1811093,1811257
1743239464.4178154,1,3,2025778,1463705
1743239464.4555492,3,4294967294,0,0
1743239464.4555824,3,4,2920526,1356
1743239464.4555924,3,1,1811257,1811781
1743239464.455599,3,2,2013367,1484211
1743239464.455605,3,3,2021476,1471464
1743239469.613628,2,4294967294,0,0
1743239469.613658,2,1,1898794,2584949
1743239469.6136637,2,4,3764890,5750
1743239469.6136675,2,2,1902232,2584513
1743239469.6136708,2,3,3744444,32370
1743239469.8218677,4,4294967294,0,0
1743239469.8218925,4,1,1881686,2596275
1743239469.821901,4,4,3751643,4796
1743239469.8219051,4,2,1886337,2598052
1743239469.8219087,4,5,3752675,4080
1743239469.8219118,4,3,3751391,4796
1743239476.2269537,3,4294967294,0,0
1743239476.2269788,3,4,3752887,1482
1743239476.2269845,3,1,2329013,2323482
1743239476.2269883,3,2,2584513,1902232
1743239476.2269917,3,3,2598052,1887115
1743239478.2926059,1,4294967294,0,0
1743239478.2926362,1,1,2584949,1899998
1743239478.2926424,1,2,2322192,2329013
1743239478.2926466,1,3,2595329,1881600
1743239484.11144,2,4294967294,0,0
1743239484.1114643,2,1,2328689,3170724
1743239484.11147,2,4,4615139,5836
1743239484.1114736,2,2,2329068,3173764
1743239484.1114771,2,3,4590807,41464
1743239484.3472452,4,4294967294,0,0
1743239484.3472672,4,1,2308978,3185701
1743239484.3472722,4,4,4599973,5610
1743239484.347285,4,2,2310519,3188928
1743239484.3472884,4,5,4600519,5146
1743239484.3472912,4,3,4599415,5694
1743239486.59149,3,4294967294,0,0
1743239486.5915174,3,4,4605342,1608
1743239486.5915248,3,1,2856816,2848943
1743239486.5915282,3,2,3172814,2329068
1743239486.5915313,3,3,3188412,2310433
1743239488.3151379,1,4294967294,0,0
1743239488.3151617,1,1,3170118,2328603
1743239488.3151674,1,2,2848255,2856816
1743239488.3151708,1,3,3184407,2308978
1743239497.0730865,3,4294967294,0,0
1743239497.0731127,3,4,5448687,1720
1743239497.0731187,3,1,3386359,3370518
1743239497.0731227,3,2,3751159,2752564
1743239497.0731263,3,3,3767476,2730848
1743239498.5615838,2,4294967294,0,0
1743239498.5616112,2,1,2756259,3750863
1743239498.5616193,2,4,5458003,7940
1743239498.5616243,2,2,2751962,3751159
1743239498.5616307,2,3,5428425,48560
1743239498.7697134,4,4294967294,0,0
1743239498.7697382,4,1,2734085,3768973
1743239498.769744,4,4,5441657,6142
1743239498.7697475,4,2,2730504,3767476
1743239498.769751,4,5,5442155,6170
1743239498.7697542,4,3,5441313,7648
1743239498.897924,1,4294967294,0,0
1743239498.8979614,1,1,3750863,2756861
1743239498.897971,1,2,3369572,3386359
1743239498.897977,1,3,3767683,2734085
1743239506.7910492,3,4294967294,0,0
